Nature index,Count,Percent
1.88,252,0.0%
1.8845,2,0.0%
1.8875,4061,0.4%
1.889375,124,0.0%
1.89125,160,0.0%
1.893125,29,0.0%
1.895,379,0.0%
1.8995,3,0.0%
1.900625,386,0.0%
1.9025,14,0.0%
1.9025,2697,0.3%
1.904375,389,0.0%
1.90625,282,0.0%
1.91,1266,0.1%
1.915625,816,0.1%
1.9175,2149,0.2%
1.919375,410,0.0%
1.92125,758,0.1%
1.923125,3,0.0%
1.925,1236,0.1%
1.930625,1017,0.1%
1.93125,4,0.0%
1.9325,805,0.1%
1.934375,224,0.0%
1.93625,440,0.0%
1.94,565,0.1%
1.945625,1335,0.1%
1.9475,973,0.1%
1.949375,220,0.0%
1.95125,179,0.0%
1.953125,2,0.0%
1.955,439,0.0%
1.959375,33,0.0%
1.960625,269,0.0%
1.9625,356,0.0%
1.964375,161,0.0%
1.96625,222,0.0%
1.97,88,0.0%
1.975625,292,0.0%
1.9775,1447,0.1%
1.979375,254,0.0%
1.98125,165,0.0%
1.985,1492,0.2%
1.9875,194,0.0%
1.990625,106,0.0%
1.9925,87,0.0%
1.994375,460,0.0%
1.99625,473,0.0%
1.998125,3,0.0%
2,1441,0.1%
2.005625,103,0.0%
2.0075,1208,0.1%
2.009375,342,0.0%
2.009375,752,0.1%
2.01125,96,0.0%
2.013125,2,0.0%
2.015,1,0.0%
2.015625,2,0.0%
2.020625,71,0.0%
2.0225,3641,0.4%
2.024375,754,0.1%
2.02625,617,0.1%
2.035625,557,0.1%
2.0375,2144,0.2%
2.039375,189,0.0%
2.04125,645,0.1%
2.045,7,0.0%
2.050625,873,0.1%
2.0525,2673,0.3%
2.054375,1844,0.2%
2.05625,195,0.0%
2.06,1,0.0%
2.065625,217,0.0%
2.065625,120,0.0%
2.0675,435,0.0%
2.069375,1000,0.1%
2.07125,122,0.0%
2.075,4,0.0%
2.080625,682,0.1%
2.0825,3422,0.3%
2.084375,480,0.0%
2.08625,189,0.0%
2.088125,1,0.0%
2.09,6,0.0%
2.095625,128,0.0%
2.0975,4323,0.4%
2.099375,418,0.0%
2.1,1,0.0%
2.10125,150,0.0%
2.105,10,0.0%
2.110625,2139,0.2%
2.1125,2101,0.2%
2.114375,415,0.0%
2.11625,77,0.0%
2.118125,2,0.0%
2.125625,1887,0.2%
2.1275,1230,0.1%
2.129375,1228,0.1%
2.13125,64,0.0%
2.135,18,0.0%
2.140625,1329,0.1%
2.1425,160,0.0%
2.144375,649,0.1%
2.14625,355,0.0%
2.15375,11,0.0%
2.155625,1170,0.1%
2.1575,2621,0.3%
2.159375,134,0.0%
2.159375,90,0.0%
2.16125,156,0.0%
2.170625,390,0.0%
2.1725,6893,0.7%
2.174375,294,0.0%
2.17625,96,0.0%
2.18,2,0.0%
2.185625,2333,0.2%
2.1875,1645,0.2%
2.189375,289,0.0%
2.19125,35,0.0%
2.195,3,0.0%
2.200625,1301,0.1%
2.2025,729,0.1%
2.204375,775,0.1%
2.21,14,0.0%
2.215625,371,0.0%
2.2175,1040,0.1%
2.219375,209,0.0%
2.230625,215,0.0%
2.2325,2897,0.3%
2.234375,200,0.0%
2.23625,15,0.0%
2.245625,798,0.1%
2.2475,4185,0.4%
2.25125,78,0.0%
2.260625,2374,0.2%
2.2625,1978,0.2%
2.264375,204,0.0%
2.265,1,0.0%
2.26625,111,0.0%
2.275625,685,0.1%
2.2775,189,0.0%
2.279375,366,0.0%
2.290625,293,0.0%
2.2925,1022,0.1%
2.294375,988,0.1%
2.30625,178,0.0%
2.3075,225,0.0%
2.309375,10,0.0%
2.320625,921,0.1%
2.32125,90,0.0%
2.3225,4402,0.4%
2.335625,271,0.0%
2.33625,14,0.0%
2.3375,2726,0.3%
2.350625,1811,0.2%
2.35125,14,0.0%
2.365625,543,0.1%
2.37,2,0.0%
2.38125,20,0.0%
2.385,2,0.0%
2.39625,94,0.0%
2.4,14,0.0%
